cue_en,target_en,Issue,condition,route_cue_zh,route_target_zh,cue_duplicated,target_duplicated,has_duplicate,str_en,"str_zh, alignment weighted",str_zh,rw_en,"rw_zh, alignment weighted",cnt_en,"cnt_zh, alignment weighted",cnt_zh,route_cue_rcs,route_target_rcs,route_cue_w,route_target_w,route_cue_other_translations,route_target_other_translations,cov_distance,cue_len,target_len,cue_zh,target_zh,cue_sim_cos_rw,target_sim_cos_rw,pair_sim_cos_rw,cue_sim_cos_str,target_sim_cos_str,pair_sim_cos_str,changed,reason
blast,voice,No replacement,M+E-,响声,声音,False,True,True,0.0,0.0168563351035118,0.0714285746216774,0.0399295836687088,0.0795045867562294,0.0,1.65192079544067,7.0,0.330628007650375,0.434692621231079,0.235988691449165,1.0,"[{'zh': '爆炸', 'rcs': 0.4362828135490417, 'w': 0.7640113029948211}]",[],0.929400869714491,5,5,爆炸,声音,0.78289163,0.7235539,0.75322276,0.20434366,0.20194404,0.20314385,,
blast,party,,M-E+,,,False,False,False,0.062992125749588,0.0,,0.0641284734010696,0.0172284543514252,8.0,0.0,,,,,,,,1.44248119869531,5,5,爆炸,党派,0.78289163,0.5295197,0.65620565,0.20434366,0.051740978,0.12804233,,
border,state,"No replacement, border-state is better",M+E+,边界,国家,False,True,True,0.0308641977608204,0.0108102830126882,0.0925925895571709,0.161551997065544,0.0999809578061104,5.0,1.16751074790955,10.0,0.39670142531395,0.293639481067657,0.159037992358208,0.734108030796051,"[{'zh': '边境', 'rcs': 0.4416214823722839, 'w': 0.4204810016270035}, {'zh': '边疆', 'rcs': 0.2616983354091644, 'w': 0.4204810016270035}]","[{'zh': '规定', 'rcs': 0.2473006099462509, 'w': 0.26589196465579745}]",1.31953492596536,6,5,边境,国家,0.6317142,0.7015089,0.66661155,0.21258223,0.25638014,0.23448119,,
border,soldier,,M+E-,边疆,战士,False,False,False,0.0,0.0095036746934056,0.0714285746216774,0.0447315610945225,0.0573451705276966,0.0,1.06441152095795,8.0,0.261698335409164,0.322835952043533,0.420480996370316,0.316426753997803,"[{'zh': '边境', 'rcs': 0.4416214823722839, 'w': 0.4204810016270035}, {'zh': '边界', 'rcs': 0.3967014253139496, 'w': 0.15903799674599292}]","[{'zh': '兵', 'rcs': 0.3273873627185821, 'w': 0.3164267561764707}, {'zh': '军人', 'rcs': 0.4203858375549316, 'w': 0.18820543137467238}, {'zh': '士兵', 'rcs': 0.4214936792850494, 'w': 0.17894105627238624}]",0.769964622961935,6,7,边境,战士,0.6317142,0.75581336,0.6937638,0.21258223,0.31563348,0.26410785,,
border,barrier,,M-E+,,,False,False,False,0.0246913582086563,0.0,,0.180232882499695,0.0155577966943383,4.0,0.0,,,,,,,,1.00664236381697,6,7,边境,障碍,0.6317142,0.6874486,0.6595814,0.21258223,0.09970817,0.1561452,,
brick,cement,,M+E+,砖头,水泥,False,False,False,0.0216216221451759,0.0125786168500781,0.0377358496189117,0.437470257282257,0.179766684770584,4.0,1.33333337306976,4.0,0.352288126945496,0.562649011611939,0.333333343267441,1.0,"[{'zh': '积木', 'rcs': 0.2154386341571808, 'w': 0.3333333333333333}, {'zh': '砖', 'rcs': 0.5376665592193604, 'w': 0.3333333333333333}]",[],0.661143859154012,5,6,积木,水泥,0.741537,0.7559994,0.7487682,0.22103651,0.28496802,0.25300226,,
brick,toy,,M+E-,积木,玩具,False,False,False,0.0,0.0451977401971817,0.135593220591545,0.0557373277842999,0.159133344888687,0.0,5.33333349227905,16.0,0.215438634157181,0.467619001865387,0.333333343267441,1.0,"[{'zh': '砖头', 'rcs': 0.3522881269454956, 'w': 0.3333333333333333}, {'zh': '砖', 'rcs': 0.5376665592193604, 'w': 0.3333333333333333}]",[],1.01213309378798,5,3,积木,玩具,0.741537,0.7505278,0.74603236,0.22103651,0.20527373,0.21315512,,
brick,layer,,M-E+,,,False,False,False,0.0216216221451759,0.0,,0.200916588306427,0.0174333341419697,4.0,0.0,,,,,,,,1.34168635793218,5,5,积木,层次,0.741537,0.5463708,0.6439539,0.22103651,0.17130128,0.1961689,,
button,switch,,M+E+,按钮,开关,False,False,False,0.0159574467688799,0.0191663354635239,0.13541667163372,0.10469201952219,0.0799820050597191,3.0,1.83996820449829,13.0,0.487864285707474,0.331714868545532,0.229522854089737,0.616653263568878,"[{'zh': '扣子', 'rcs': 0.3900531828403473, 'w': 0.22952285107089268}, {'zh': '按键', 'rcs': 0.4508865475654602, 'w': 0.22952285107089268}, {'zh': '纽扣', 'rcs': 0.3458504974842071, 'w': 0.22952285107089268}, {'zh': '键', 'rcs': 0.3273929059505462, 'w': 0.08190859571642929}]","[{'zh': '转换', 'rcs': 0.3224034905433655, 'w': 0.19782583341149027}, {'zh': '转移', 'rcs': 0.2481322288513183, 'w': 0.09754687964753536}, {'zh': '交换', 'rcs': 0.2526579201221466, 'w': 0.08797401518700525}]",0.833079125158187,6,6,扣子,开关,0.78395116,0.6346009,0.709276,0.14869538,0.10374456,0.12621997,y,poor translation
button,voice,No replacement,M+E-,按键,声音,False,True,True,0.0,0.009979254566133,0.0434782616794109,0.0145280780270696,0.0257754176855087,0.0,0.918091416358948,4.0,0.45088654756546,0.434692621231079,0.229522854089737,1.0,"[{'zh': '扣子', 'rcs': 0.3900531828403473, 'w': 0.22952285107089268}, {'zh': '按钮', 'rcs': 0.4878642857074737, 'w': 0.22952285107089268}, {'zh': '纽扣', 'rcs': 0.3458504974842071, 'w': 0.22952285107089268}, {'zh': '键', 'rcs': 0.3273929059505462, 'w': 0.08190859571642929}]",[],1.09649984357514,6,5,扣子,声音,0.78395116,0.7235539,0.7537525,0.14869538,0.20194404,0.1753197,?,low str
button,nose,,M-E+,,,False,False,False,0.0319148935377598,0.0,,0.0463370606303215,0.0107029639184475,6.0,0.0,,,,,,,,1.08835817093441,6,4,扣子,鼻,0.78395116,0.79401773,0.7889844,0.14869538,0.15315132,0.15092334,y,global uniqueness
cannon,weapon,,M+E+,大炮,武器,False,False,False,0.05527638271451,0.0206970851868391,0.0813953503966332,0.368356794118881,0.172705948352814,11.0,1.779949426651,7.0,0.486898154020309,0.484443068504334,1.0,0.254278481006622,[],"[{'zh': '凶器', 'rcs': 0.2454517632722854, 'w': 0.5076603114202342}, {'zh': '兵器', 'rcs': 0.4094533324241638, 'w': 0.16383712565252684}, {'zh': '工具', 'rcs': 0.2591533958911896, 'w': 0.07422409669575192}]",0.907343962245695,6,6,大炮,凶器,0.7808657,0.7073319,0.7440988,0.24590074,0.6664765,0.45618862,,
cannon,airplane,,M+E-,大炮,飞机,False,False,False,0.0,0.0465116277337074,0.0465116277337074,0.0480201281607151,0.169100001454353,0.0,4.0,4.0,0.486898154020309,0.481065690517426,1.0,1.0,[],[],0.990912775524431,6,8,大炮,飞机,0.7808657,0.8041768,0.79252124,0.24590074,0.548523,0.39721188,,
cannon,camera,,M-E+,,,False,False,False,0.0402010045945644,0.0,,0.0887139365077019,0.0142333339899778,8.0,0.0,,,,,,,,1.03413313678619,6,6,大炮,相机,0.7808657,0.7588961,0.7698809,0.24590074,0.55002904,0.3979649,,
chop,knife,No replacement,M+E+,砍,刀,False,True,True,0.110526315867901,0.0254913959652185,0.160377353429794,0.316086709499359,0.168254032731056,21.0,2.70208787918091,17.0,0.285966873168945,0.451748669147491,0.497281402349472,0.319630593061447,"[{'zh': '劈', 'rcs': 0.3510035276412964, 'w': 0.5027185974379433}]","[{'zh': '刀子', 'rcs': 0.5002323985099792, 'w': 0.6803694095529377}]",0.91412849207788,4,5,劈,刀子,0.6405899,0.8075766,0.72408324,0.25464034,0.6887677,0.471704,,
chop,log,,M+E-,劈,木头,False,False,False,0.0,0.0287267751991749,0.0571428574621677,0.0625597909092903,0.176001772284508,0.0,2.01087427139282,4.0,0.351003527641296,0.271810978651047,0.502718567848206,1.0,"[{'zh': '砍', 'rcs': 0.2859668731689453, 'w': 0.4972814025620566}]",[],0.664925170118607,4,3,劈,木头,0.6405899,0.61934423,0.6299671,0.25464034,0.2735067,0.26407352,,
chop,pork,,M-E+,,,False,False,False,0.0894736871123314,0.0,,0.376652091741562,0.0271468032151461,17.0,0.0,,,,,,,,0.321526538576518,4,4,劈,猪肉,0.6405899,0.8564856,0.7485378,0.25464034,0.5490882,0.40186426,,
laugh,teeth,,M+E+,大笑,牙齿,False,False,False,0.0258620698004961,0.0135000329464674,0.0697674453258514,0.075140193104744,0.0362619869410992,3.0,1.1610027551651,6.0,0.464120149612427,0.549432039260864,0.389893859624863,0.496290117502213,"[{'zh': '笑声', 'rcs': 0.4315326511859894, 'w': 0.3539020323843083}, {'zh': '笑', 'rcs': 0.4041086435317993, 'w': 0.25620411067862575}]","[{'zh': '牙', 'rcs': 0.283527672290802, 'w': 0.5037098760926835}]",0.717381406885537,5,5,大笑,牙,0.75537825,0.77567595,0.7655271,0.26593342,0.3219151,0.29392427,,
laugh,voice,No replacement,M+E-,笑声,声音,False,True,True,0.0,0.0140159223228693,0.0396039597690105,0.0741213485598564,0.116469167172909,0.0,1.41560816764832,4.0,0.431532651185989,0.434692621231079,0.353902041912079,1.0,"[{'zh': '大笑', 'rcs': 0.4641201496124267, 'w': 0.389893856937066}, {'zh': '笑', 'rcs': 0.4041086435317993, 'w': 0.25620411067862575}]",[],0.186167471217864,5,5,大笑,声音,0.75537825,0.7235539,0.7394661,0.26593342,0.20194404,0.23393872,,
laugh,belly,,M-E+,,,False,False,False,0.0258620698004961,0.0,,0.128469929099083,0.019065810367465,3.0,0.0,,,,,,,,0.934915121037302,5,5,大笑,肚子,0.75537825,0.7772397,0.76630896,0.26593342,0.24125734,0.25359538,,
media,news,,M+E+,媒体,新闻,False,False,False,0.140096619725227,0.0540264695882797,0.151785716414452,0.370339959859848,0.17729327082634,29.0,6.05096435546875,17.0,0.35856705904007,0.418545007705689,0.5,0.711878180503845,"[{'zh': '传媒', 'rcs': 0.2715575098991394, 'w': 0.5}]","[{'zh': '消息', 'rcs': 0.2309300005435943, 'w': 0.2881218429053617}]",1.19446486688597,5,4,媒体,新闻,0.7705258,0.7357612,0.75314355,0.5171616,0.16517748,0.34116954,,
media,campus,,M+E-,传媒,大学,False,False,False,0.0,0.0084872217848897,0.114754095673561,0.0304091274738312,0.0149113973602653,0.0,1.03544104099274,14.0,0.271557509899139,0.213780298829079,0.5,0.147920146584511,"[{'zh': '媒体', 'rcs': 0.3585670590400696, 'w': 0.5}]","[{'zh': '校园', 'rcs': 0.3047914206981659, 'w': 0.8520798559841679}]",1.18132240176396,5,6,媒体,校园,0.7705258,0.68898064,0.72975326,0.5171616,0.26682115,0.39199138,,poor translation
