id,cue_en,target_en,condition,cue_zh,target_zh,cue_len,target_len,rw_en,"rw_zh, alignment weighted",str_en,"str_zh, alignment weighted",cnt_en,"cnt_zh, alignment weighted",route_cue_zh,route_target_zh,route_cue_rcs,route_target_rcs,route_cue_w,route_target_w,route_s_zh,route_cue_other_translations,route_target_other_translations,cue_sim_cos_rw,target_sim_cos_rw,pair_sim_cos_rw,cue_sim_cos_str,target_sim_cos_str,pair_sim_cos_str,cov_distance
35,bull,market,M-E+,公牛,市场,4,6,0.07433144748210907,0.00848471000790596,0.0279720276594162,0.0,4.0,0.0,,,,,,,,,,0.7259266,0.771651,0.74878883,0.082972884,0.09831905,0.09064597,0.991713581779033
36,butt,rear,M+E+,屁股,臀部,4,4,0.38679614663124084,0.5623000264167786,0.058252427726984024,0.07207207381725311,12.0,8.0,屁股,臀部,0.4348784983158111,0.2361449003219604,1.0,1.0,0.07207207381725311,[],[],0.7246236,0.54897034,0.63679695,0.17101058,0.27734083,0.2241757,1.2463019216456344
37,butt,body,M+E-,屁股,尸体,4,4,0.053883977234363556,0.1084931418299675,0.0,0.014416160993278027,0.0,1.6001938581466675,屁股,身体,0.4348784983158111,0.3793242275714874,1.0,0.40004846453666687,0.036036036908626556,[],"[{'zh': '尸体', 'rcs': 0.214199960231781, 'w': 0.4000484667624227}, {'zh': '物体', 'rcs': 0.4174042642116546, 'w': 0.19990306647515454}]",0.7246236,0.68073213,0.70267785,0.17101058,0.043146376,0.10707848,0.8785453445743648
38,butt,sex,M-E+,屁股,性,4,3,0.06541331857442856,0.024925777688622475,0.02427184395492077,0.0,5.0,0.0,,,,,,,,,,0.7246236,0.72243667,0.7235302,0.17101058,0.29370517,0.23235787,1.075370317897989
39,button,thread,M+E+,扣子,穿,6,6,0.26114553213119507,0.06255137920379639,0.021276595070958138,0.014100824482738972,4.0,1.4241832494735718,扣子,衣服,0.3900531828403473,0.2073432207107544,0.22952285408973694,0.24819894134998322,0.24752475321292877,"[{'zh': '按钮', 'rcs': 0.4878642857074737, 'w': 0.22952285107089268}, {'zh': '按键', 'rcs': 0.4508865475654602, 'w': 0.22952285107089268}, {'zh': '纽扣', 'rcs': 0.3458504974842071, 'w': 0.22952285107089268}, {'zh': '键', 'rcs': 0.3273929059505462, 'w': 0.08190859571642929}]","[{'zh': '穿', 'rcs': 0.2127098888158798, 'w': 0.7518010622210529}]",0.78395116,0.64790684,0.71592903,0.14869538,0.026098285,0.08739683,0.9263248486169166
40,button,voice,M+E-,扣子,声音,6,5,0.014528078027069569,0.025775417685508728,0.0,0.009979254566133022,0.0,0.9180914163589478,按键,声音,0.4508865475654602,0.4346926212310791,0.22952285408973694,1.0,0.043478261679410934,"[{'zh': '扣子', 'rcs': 0.3900531828403473, 'w': 0.22952285107089268}, {'zh': '按钮', 'rcs': 0.4878642857074737, 'w': 0.22952285107089268}, {'zh': '纽扣', 'rcs': 0.3458504974842071, 'w': 0.22952285107089268}, {'zh': '键', 'rcs': 0.3273929059505462, 'w': 0.08190859571642929}]",[],0.78395116,0.7235539,0.7537525,0.14869538,0.20194404,0.1753197,1.096499843575136
41,button,press,M-E+,扣子,评论,6,5,0.1876007467508316,0.017191262915730476,0.058510638773441315,0.0,11.0,0.0,,,,,,,,,,0.78395116,0.6138731,0.69891214,0.14869538,0.00453229,0.076613836,1.1777295370329355
42,cancer,sickness,M+E+,癌症,疾病,6,8,0.3293450176715851,0.17241623997688293,0.05343511328101158,0.013135694898664951,7.0,1.4317907094955444,癌,疾病,0.643173336982727,0.4873869121074676,0.5,0.5727162957191467,0.0458715595304966,"[{'zh': '癌症', 'rcs': 0.6733107566833496, 'w': 0.5}]","[{'zh': '恶心', 'rcs': 0.4008625745773315, 'w': 0.17974843156570344}, {'zh': '呕吐', 'rcs': 0.4489710330963135, 'w': 0.1162461307620861}, {'zh': '厌恶', 'rcs': 0.2158258259296417, 'w': 0.07098864434248908}, {'zh': '悲伤', 'rcs': 0.2323462665081024, 'w': 0.06030047312504205}]",0.7922889,0.7799919,0.78614044,0.097811274,0.22926068,0.16353598,1.1835144178330275
43,cancer,perish,M+E-,癌症,丧失,6,6,0.05828866735100746,0.04083135724067688,0.0,0.023990033194422722,0.0,2.5669333934783936,癌症,死亡,0.6733107566833496,0.2510530650615692,0.5,0.3422577977180481,0.14018692076206207,"[{'zh': '癌', 'rcs': 0.643173336982727, 'w': 0.5}]","[{'zh': '丧失', 'rcs': 0.3378564715385437, 'w': 0.3900043667165838}, {'zh': '毁灭', 'rcs': 0.3822246491909027, 'w': 0.26773784416724294}]",0.7922889,0.6875172,0.7399031,0.097811274,0.042202048,0.07000666,1.3073423365882266
44,cancer,research,M-E+,癌症,探索,6,8,0.06339406222105026,0.008587397634983063,0.030534351244568825,0.0,4.0,0.0,,,,,,,,,,0.7922889,0.6132488,0.70276886,0.097811274,0.06620239,0.08200683,1.2611135150971742
45,candle,burning,M+E+,蜡烛,烧,6,7,0.29243919253349304,0.1236475482583046,0.01595744676887989,0.027379384264349937,3.0,2.8200767040252686,蜡烛,燃烧,0.4977260828018188,0.3634793758392334,1.0,0.2563706040382385,0.10679611563682556,[],"[{'zh': '烧', 'rcs': 0.2890322804450989, 'w': 0.39337062217704377}, {'zh': '着火', 'rcs': 0.3375095129013061, 'w': 0.35025876882649665}]",0.8062621,0.70211846,0.75419027,0.083157845,0.05721051,0.07018418,1.2855144951947666
46,candle,teacher,M+E-,蜡烛,老师,6,7,0.008692783303558826,0.0709778368473053,0.0,0.03991920128464699,0.0,4.111677646636963,蜡烛,老师,0.4977260828018188,0.3468257486820221,1.0,0.5139597058296204,0.0776699036359787,[],"[{'zh': '教师', 'rcs': 0.5814129710197449, 'w': 0.27992430342702346}, {'zh': '先生', 'rcs': 0.3092143535614013, 'w': 0.20611599535842348}]",0.8062621,0.7545064,0.78038424,0.083157845,0.3640417,0.22359976,1.1973501964370907
47,candle,stick,M-E+,蜡烛,放置,6,5,0.06691516190767288,0.005538018420338631,0.04787234216928482,0.0,9.0,0.0,,,,,,,,,,0.8062621,0.69549215,0.75087714,0.083157845,0.023742562,0.053450204,1.4545177557706146
