cue_en,target_en,condition,cue_zh,target_zh,cue_len,target_len,rw_en,"rw_zh, alignment weighted",str_en,"str_zh, alignment weighted",cnt_en,"cnt_zh, alignment weighted",route_cue_zh,route_target_zh,route_cue_rcs,route_target_rcs,route_cue_w,route_target_w,route_s_zh,route_cue_other_translations,route_target_other_translations,cue_sim_cos_rw,target_sim_cos_rw,pair_sim_cos_rw,cue_sim_cos_str,target_sim_cos_str,pair_sim_cos_str,cov_distance
log,tree,M+E+,木头,大树,3,4,0.22919900715351105,0.11683709174394608,0.13809524476528168,0.026992067694664,29.0,2.726198673248291,木头,树,0.2718109786510467,0.3510806560516357,1.0,0.38945695757865906,0.06930693238973618,[],"[{'zh': '大树', 'rcs': 0.3920817971229553, 'w': 0.3894569459129817}, {'zh': '树木', 'rcs': 0.4441355466842651, 'w': 0.22108610817403662}]",0.61934423,0.80540377,0.712374,0.2735067,0.4329255,0.3532161,1.036199488047375
log,skull,M+E-,木头,头骨,3,5,0.01837930642068386,0.058400001376867294,0.0,0.014851485379040241,0.0,1.5,木头,脑袋,0.2718109786510467,0.3159124553203583,1.0,0.5,0.029702970758080482,[],"[{'zh': '头骨', 'rcs': 0.5555534362792969, 'w': 0.5}]",0.61934423,0.74810874,0.6837265,0.2735067,0.3941793,0.333843,0.9843100001982995
log,river,M-E+,木头,河流,3,5,0.05245033651590347,0.018625283613801003,0.014285714365541935,0.0,3.0,0.0,,,,,,,,,,0.61934423,0.82681257,0.72307837,0.2735067,0.5053446,0.38942567,1.278014545309662
loud,yell,M+E+,大声,呐喊,4,4,0.35289791226387024,0.1735832393169403,0.02283105067908764,0.007504388224333525,5.0,0.8780133724212646,大声,喊叫,0.3974224627017975,0.4403048455715179,1.0,0.2278231978416443,0.025641025975346565,[],"[{'zh': '呐喊', 'rcs': 0.2807372212409973, 'w': 0.4390066994987985}, {'zh': '欢呼', 'rcs': 0.3175866305828094, 'w': 0.18876978998664773}, {'zh': '叫嚷', 'rcs': 0.393348753452301, 'w': 0.14440030688877328}]",0.7684116,0.75857437,0.76349294,0.093171984,0.42855528,0.26086363,0.4343430724525923
loud,voice,M+E+,大声,声音,4,5,0.2979990541934967,0.385699987411499,0.013698630034923553,0.04273504391312599,3.0,5.0,大声,声音,0.3974224627017975,0.4346926212310791,1.0,1.0,0.04273504391312599,[],[],0.7684116,0.7235539,0.74598277,0.093171984,0.20194404,0.147558,0.7414069996818501
loud,peep,M+E-,大声,说话,4,4,0.07312024384737015,0.19750776886940002,0.0,0.07280778884887695,0.0,8.518510818481445,大声,说话,0.3974224627017975,0.2173470556735992,1.0,0.6084650754928589,0.11965811997652054,[],"[{'zh': '朋友', 'rcs': 0.2252739816904068, 'w': 0.39153492361264136}]",0.7684116,0.5270037,0.64770764,0.093171984,0.019768681,0.056470335,1.2324403447516106
loud,stink,M+E-,大声,吵闹,4,5,0.03773590549826622,0.4885999858379364,0.0,0.05128205195069313,0.0,6.0,大声,吵闹,0.3974224627017975,0.2834409177303314,1.0,1.0,0.05128205195069313,[],[],0.7684116,0.36970693,0.56905925,0.093171984,0.0025999595,0.047885973,0.7692463938839244
loud,volume,M-E+,大声,卷,4,6,0.25701022148132324,0.015623265877366066,0.027397260069847107,0.0,6.0,0.0,,,,,,,,,,0.7684116,0.5494763,0.65894395,0.093171984,0.056216206,0.0746941,1.4878468480651534
loud,mouth,M-E+,大声,口,4,5,0.14951598644256592,0.026599286124110222,0.013698630034923553,0.0,3.0,0.0,,,,,,,,,,0.7684116,0.7812085,0.7748101,0.093171984,0.26381087,0.17849143,1.1835520026154542
low,level,M+E+,低,水平,3,5,0.18409593403339386,0.10992447286844254,0.019108280539512634,0.008935132995247841,3.0,0.9381889700889587,低,水平,0.4294463396072387,0.4021556079387665,1.0,0.3127296566963196,0.02857142873108387,[],"[{'zh': '层次', 'rcs': 0.3056672513484955, 'w': 0.24603614974513022}, {'zh': '高度', 'rcs': 0.383238822221756, 'w': 0.16480513150049492}, {'zh': '质量', 'rcs': 0.3732706010341644, 'w': 0.14888767438008033}, {'zh': '程度', 'rcs': 0.3054729998111725, 'w': 0.12754137308522684}]",0.74379486,0.7574113,0.7506031,0.089332424,0.13119406,0.11026324,1.0718529626342241
