cue_en,target_en,Issue,condition,route_cue_zh,route_target_zh,cue_duplicated,target_duplicated,has_duplicate,str_en,"str_zh, alignment weighted",str_zh,rw_en,"rw_zh, alignment weighted",cnt_en,"cnt_zh, alignment weighted",route_cue_rcs,route_target_rcs,route_cue_w,route_target_w,route_cue_other_translations,route_target_other_translations,cov_distance,cue_len,target_len,cue_zh,target_zh,cue_sim_cos_rw,target_sim_cos_rw,pair_sim_cos_rw,cue_sim_cos_str,target_sim_cos_str,pair_sim_cos_str,changed,reason
riding,saddle,,M+E+,骑马,马鞍,FALSE,FALSE,FALSE,0.0472440868616104,0.0493827164173126,0.0493827164173126,0.476976901292801,0.495200008153915,6.0,4.0,0.344992280006409,0.291984289884567,1.0,1.0,[],[],1.0102230238544,6,6,骑马,马鞍,0.6668382,0.6921119,0.67947507,0.23870078,0.32381082,0.28125578,,
riding,quick,,M+E-,骑马,快,FALSE,FALSE,FALSE,0.0,0.0370370373129845,0.0370370373129845,0.0520989261567593,0.118299998342991,0.0,3.0,0.344992280006409,0.256852805614471,1.0,1.0,[],[],1.4287530675134,6,5,骑马,快,0.6668382,0.7524308,0.70963454,0.23870078,0.47288588,0.35579333,,
riding,train,No replacement,M-E+,,,FALSE,TRUE,TRUE,0.0236220546066761,0.0,,0.278559118509293,0.0397999994456768,3.0,0.0,,,,,,,0.975752464232582,6,5,骑马,火车,0.6668382,0.78923094,0.7280346,0.23870078,0.15093203,0.19481641,,
rise,lift,Conflict with “lift”,M+E+,上升,电梯,TRUE,TRUE,TRUE,0.0618556663393974,0.0387715585529804,0.0618556700646877,0.342477947473526,0.158895552158356,12.0,3.7608413696289100,0.310974210500717,0.28491798043251,0.82929527759552,0.755830764770508,"[{'zh': '增长', 'rcs': 0.2891542613506317, 'w': 0.17070472211336812}]","[{'zh': '移动', 'rcs': 0.3695006072521209, 'w': 0.24416924500773757}]",0.183542576306198,4,4,上升,电梯,0.65922374,0.6691163,0.66417,0.22844301,0.053380553,0.14091179,,
rise,space,No replacement,M+E-,上升,空间,TRUE,TRUE,TRUE,0.0,0.0108657302334905,0.0309278350323439,0.0251129101961851,0.0383647195994854,0.0,1.05397593975067,0.310974210500717,0.444101363420486,0.82929527759552,0.423643171787262,"[{'zh': '增长', 'rcs': 0.2891542613506317, 'w': 0.17070472211336812}]","[{'zh': '空隙', 'rcs': 0.2548846900463104, 'w': 0.42364316696716553}, {'zh': '空格', 'rcs': 0.2406511604785919, 'w': 0.15271366606566908}]",0.824730038123184,4,5,上升,空间,0.65922374,0.6740433,0.6666335,0.22844301,0.266436,0.2474395,,
rise,bread,,M-E+,,,TRUE,FALSE,TRUE,0.0773195847868919,0.0,,0.157377436757088,0.0163371171802282,15.0,0.0,,,,,,,0.956145062734177,4,5,上升,面包,0.65922374,0.8496332,0.7544285,0.22844301,0.3416906,0.2850668,,
rough,surface,,M+E+,粗糙,表面,,,,0.01960783638060090,0.00903849583119154,,0.18959073722362500,0.059648651629686400,4.0,0.9219265580177310,0.2128840833902360,0.4597764015197750,0.6525465250015260,0.4709378480911260,"[{'zh': '粗', 'rcs': 0.2246107459068298, 'w': 0.347453464119419}]","[{'zh': '地面', 'rcs': 0.3728223741054535, 'w': 0.27485648871479795}, {'zh': '水面', 'rcs': 0.3617261946201324, 'w': 0.254205665778606}]",1.1199245251361200,5,7,粗糙,表面,0.7057622,0.78162175,0.743692,0.39005485,0.28335783,0.33670634,y,global uniqueness
rough,thin,No replacement,M+E-,粗,细,,TRUE,TRUE,0.0,0.0344581939280033,0.198347106575966,0.027040671557188,0.0891218185424805,0.0,4.1694416999816900,0.22461074590683,0.299919337034225,0.347453474998474,0.5,"[{'zh': '粗糙', 'rcs': 0.2128840833902359, 'w': 0.6525465358805811}]","[{'zh': '薄', 'rcs': 0.4066925942897796, 'w': 0.5}]",0.588714216803083,5,4,粗糙,薄,0.7057622,0.75006765,0.7279149,0.39005485,0.49417633,0.4421156,,
rough,tough,,M-E+,,,,FALSE,TRUE,0.112745091319084,0.0,,0.212701827287674,0.018467066809535,23.0,0.0,,,,,,,1.33352818587239,5,5,粗糙,难,0.7057622,0.5257976,0.6157799,0.39005485,0.013533704,0.20179428,,
sack,pack,,M+E+,袋子,装,,FALSE,TRUE,0.0156250055879354,0.0280373822897673,0.0280373822897673,0.260826230049133,0.393900007009506,3.0,3.0,0.228073462843895,0.302848279476166,1.0,1.0,[],[],1.1529667055217,4,4,袋子,装,0.7359671,0.6118962,0.67393166,0.12801418,0.038814045,0.08341411,,
sack,plastic,,M+E-,袋子,塑料袋,,FALSE,TRUE,0.0,0.0510045364499092,0.112149529159069,0.0633575469255447,0.227759063243866,0.0,5.45748519897461,0.228073462843895,0.578488409519196,1.0,0.393612712621689,[],"[{'zh': '塑料', 'rcs': 0.5795463919639587, 'w': 0.6063872741703015}]",1.4701775964521,4,7,袋子,塑料,0.7359671,0.79986227,0.76791465,0.12801418,0.16726188,0.14763802,,
sack,potato,,M-E+,,,,FALSE,TRUE,0.078125,0.0,,0.193741470575333,0.0398500002920628,15.0,0.0,,,,,,,0.973128616350587,4,6,袋子,马铃薯,0.7359671,0.8585923,0.7972797,0.12801418,0.2965405,0.21227734,,
salute,military,,M+E+,敬礼,军人,FALSE,FALSE,FALSE,0.171123042702675,0.0288693010807037,0.227272734045982,0.289822995662689,0.0589018128812313,32.0,3.17562317848206,0.354029655456543,0.310607731342316,0.544654607772827,0.233221054077148,"[{'zh': '致敬', 'rcs': 0.3040205538272857, 'w': 0.26999046499469515}, {'zh': '致意', 'rcs': 0.272709310054779, 'w': 0.1853549058641541}]","[{'zh': '军事', 'rcs': 0.4116553962230682, 'w': 0.5755468789631837}, {'zh': '军队', 'rcs': 0.4304167330265045, 'w': 0.19123206161084616}]",1.42283755458156,6,8,敬礼,军事,0.7048079,0.76135147,0.7330797,0.5883543,0.24250275,0.41542852,,
